# Per-reaction sha256 of the rxn_smiles string built from
# the ModelSEEDDatabase compound and reaction tables, matching
# the logic in Ray16/ModelSEED_FAISS:0_gen_rxn_fps_rxnfp.py.
reaction_id	hash
rxn00262	a24bc5c1856b9b8dbd956f6b9880d373262c0c3413cbb7394b467389f2263d7d
rxn00263	8c8bb8bf71bb0d9153de8291bc8500c8a4968df371f543077833e38c98d9df13
rxn00264	b0750df4603950f61aa5e955366d547a231e935da4c5cb7f4edc9e801584a447
rxn00265	599db3aaf16ccc67de56dc15e19062a82d5e6fe13e75870102f4fdc657c67c03
rxn00266	8183094a72556e83826ae3e73c365c41ee3f47e48e1fa7115f1ff9115ba85be6
rxn00267	50cae2167a7dbeda7aec854a68cb53f17b7f54a86234df73555a6f41bb57012c
rxn00268	4fa500a2b9954ee3cc30e25170b509a99b9bc2296b47e051675c016cf27e61bf
rxn00269	828325bb00c2c042fa478dcb4c4f3b27a3b0576a5594583d1b1115bc11c80e65
rxn00270	965f72603b9bcfbc9279faaca2dae924ae48e4869544010a4a2feee5042dc126
rxn00271	711076e8cf97d8d64438374c5d4802ed9773f9de97c64866b8d03cdef82950d8
rxn00272	16abfc04187967f7dab08b5874c68505252fda0cf18ce0389e7bec0521a89c33
rxn00273	8a47d9e036ba5835afa809b3a3fdaf7db20b0b54504808c6c1ab95ae8bd4f090
rxn00274	a47e98db4f3113c3dc53aef06221f13604134bfaa951ca2b61a45847171a5b67
rxn00275	ad2b8126db45e2a2fa2a24fe35e68f007ef4d19123cb4b2115c17a28a3392897
rxn00276	278b93236371a77d22fb5968d89368fd050eaf95e45b214d6a01632d8f176e96
rxn00277	12d23baa2d83bbc91fc16f01bc93abc6eed2b40e379232f40d16783be752df19
rxn00278	914143bd3fc07ec5c8edba70d42dd619cf79f8ef9c680e44d2ab87b66fbf6e38
rxn00279	2b45ff471512db9c50fdb8ab88404ba7b1de0f8852c66a271a3435eb769c546f
rxn00280	dc8ad678047d2a557af06698db435087b2962ae31312d970ef88192db8da0a88
rxn00281	ace8ab4d05a5637cc029dc6670345f23e05718361b5d52fcc17719ce003ffbb9
rxn00282	d945b031d2c19cebf1c9007f6f3cc5465b0bbbe9a3136a67b2604fa249ec7cf7
rxn00283	2fe0f815f882141ad12448afadcf5a5168718f0c62ed4c97971ec74f19b04274
rxn00284	02065afb70635176884ba30129a53f964ae042d4591d1ff61708fc22970260ae
rxn00285	13566503a7219cfa13fdd013c3b2fe5289666618091b4905b219d376b1668628
rxn00286	7553b87d3647b4c05bc953f7ffc17cbdc722e13920a1b0b318b0bcf2b4d555e7
rxn00287	223af4ecc547cc3132f9d1e84ec810561ab87d34fb53659f780d9808efb4f210
rxn00288	19bc1799ad84cc941136756d3dd0d9f5d167e1de7747597d5827946d48419fec
rxn00289	1eab3d6e35bab56ea6180a4552e34bbec1c0653f26689d08a18e2e00795b3cff
